market,identifier,fiscal_year,market_cap_usd,revenue_usd,operating_income_usd,net_income_usd,currency,source
KR,058610,2025,1274256000,246002516.58456,12916117.36152,6575994.2196,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,058630,2025,58464000,66052983.6792,12639450.55104,11519163.20952,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,058650,2025,357696000,4759981607.323441,126336540.9168,61836145.00704,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,058730,2025,64152000,196698834.13464,1490436.73008,-5013539.55288,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,058820,2025,108072000,75765012.9732,-2658580.15032,-7255571.17032,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,058850,2025,67680000,750756004.164,21460454.37648,18169346.3148,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,058860,2025,62136000,423907174.16208,17812974.0132,26183663.01936,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_OFS+NAVER_STOCK_MARKET_CAP
KR,058970,2025,158832000,60465775.68504,654883.23168,1825192.23336,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,059090,2025,430416000,703466491.43592,72723056.74272,53963471.78784,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,059100,2025,23904000,24947436.54168,4349005.2216,4324775.6196,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_OFS+NAVER_STOCK_MARKET_CAP
KR,059120,2025,74520000,17724888.63144,693162.19872,602748.67104,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_OFS+NAVER_STOCK_MARKET_CAP
KR,059210,2025,76896000,74124949.36248,15428254.98384,7755511.80168,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,059270,2025,52416000,10856113.79112,-447242.3316,106453.6236,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_OFS+NAVER_STOCK_MARKET_CAP
KR,060000,2025,,,4118958720,2753869680,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS
KR,060150,2025,101880000,134751464.5248,13124599.074,-7866099.2088,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,060230,2025,12096000,44586287.70984,-5939644.6944,-13391078.2776,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,060240,2025,8280000,17841873.384,-3919740.99264,-9436816.38384,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,060250,2025,384840000,889115580.5076,39375316.43496,32960107.58976,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,060260,2025,15264000,31305522.96216,935279.79696,1353022.66872,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_OFS+NAVER_STOCK_MARKET_CAP
KR,060280,2025,278640000,53662907.808,1700499.22416,1995471.75384,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,060310,2025,44280000,20895973.17624,-4198526.04168,-7205088.8016,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,060370,2025,985464000,175827653.68104,5046696.95112,6016555.79568,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,060380,2025,17208000,142430741.9892,1305370.33848,1410801.79752,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,060480,2025,11736000,26126060.184,-151174.2708,70085.33928,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_OFS+NAVER_STOCK_MARKET_CAP
KR,060540,2025,20520000,115007719.81896,2816204.04432,342920.77776,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,060560,2025,35136000,215153534.09808,-13329744.79176,-17167688.86248,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,060570,2025,47952000,161997863.23368,426992.0364,1873016.36496,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
